dia,mês,data,mixer,n_transacoes,media_btc_tx,total_btc_dia,media_in_tx,media_out_tx,media_reuso_global_tx,media_reuso_interno_tx
1,1,2025-01-01,Wasabi,58,1.26448106,73.33990150,10.88,8.02,1.81,5.47
2,1,2025-01-02,Wasabi,55,1.04109599,57.26027933,14.09,7.07,4.00,5.84
3,1,2025-01-03,Wasabi,72,1.83280208,131.96174973,10.17,8.07,3.47,4.74
4,1,2025-01-04,Wasabi,50,2.40669542,120.33477121,10.54,9.12,4.42,3.82
5,1,2025-01-05,Wasabi,80,0.51075910,40.86072838,11.11,11.38,2.01,6.51
6,1,2025-01-06,Wasabi,189,2.50163010,472.80808856,10.20,11.12,5.48,1.92
7,1,2025-01-07,Wasabi,266,0.79385834,211.16631965,8.35,9.20,3.41,2.59
8,1,2025-01-08,Wasabi,51,15.92645801,812.24935857,11.45,9.33,4.94,3.90
9,1,2025-01-09,Wasabi,61,10.14665189,618.94576513,8.56,6.93,3.97,3.34
10,1,2025-01-10,Wasabi,75,2.14839316,161.12948737,9.89,6.19,5.60,4.47
11,1,2025-01-11,Wasabi,42,4.58704975,192.65608957,9.76,10.07,2.76,3.69
12,1,2025-01-12,Wasabi,51,5.59295303,285.24060455,20.86,17.59,4.80,13.25
13,1,2025-01-13,Wasabi,60,1.30950476,78.57028571,13.22,8.45,5.73,7.00
14,1,2025-01-14,Wasabi,92,3.82234117,351.65538767,9.95,9.29,3.74,5.85
15,1,2025-01-15,Wasabi,49,41.96339019,2056.20611949,10.67,8.31,4.24,2.49
16,1,2025-01-16,Wasabi,42,4.86555262,204.35321003,18.26,10.05,8.36,5.67
17,1,2025-01-17,Wasabi,39,4.41881762,172.33388730,10.21,10.56,4.26,1.33
18,1,2025-01-18,Wasabi,73,5.56513863,406.25512011,11.96,10.74,5.33,3.60
19,1,2025-01-19,Wasabi,66,7.23447783,477.47553662,13.64,11.23,5.97,3.12
20,1,2025-01-20,Wasabi,28,12.17710106,340.95882956,18.79,10.43,8.54,4.43
21,1,2025-01-21,Wasabi,35,13.72703302,480.44615581,16.06,8.09,6.46,4.57
22,1,2025-01-22,Wasabi,48,6.22582901,298.83979226,12.27,10.19,4.33,6.17
23,1,2025-01-23,Wasabi,66,9.41186576,621.18314019,15.03,11.24,5.02,3.32
24,1,2025-01-24,Wasabi,57,2.91060339,165.90439310,13.18,8.81,6.56,4.30
25,1,2025-01-25,Wasabi,36,3.28871881,118.39387722,17.83,12.61,9.25,3.14
26,1,2025-01-26,Wasabi,52,3.84176982,199.77203050,10.69,8.88,5.13,4.33
27,1,2025-01-27,Wasabi,31,5.41383465,167.82887424,15.45,9.48,7.52,3.87
28,1,2025-01-28,Wasabi,43,5.66679809,243.67231785,18.51,10.09,7.60,4.47
29,1,2025-01-29,Wasabi,36,7.71589777,277.77231966,9.50,8.28,5.11,2.56
30,1,2025-01-30,Wasabi,57,3.70788528,211.34946116,19.46,21.07,14.21,7.95
31,1,2025-01-31,Wasabi,47,3.39626490,159.62445020,20.89,10.70,6.89,9.91
1,2,2025-02-01,Wasabi,61,2.48685776,151.69832328,28.31,27.30,14.56,16.62
2,2,2025-02-02,Wasabi,61,2.87981159,175.66850692,16.74,14.77,7.97,3.85
