dia,mês,data,mixer,n_transacoes,media_btc_tx,total_btc_dia,media_in_tx,media_out_tx,media_reuso_global_tx,media_reuso_interno_tx
1,1,2025-01-01,Wasabi,113,9.75691613,1102.53152265,71.71,81.27,42.97,0.25
2,1,2025-01-02,Wasabi,156,6.40822529,999.68314599,61.38,68.91,45.29,0.74
3,1,2025-01-03,Wasabi,127,5.20906026,661.55065301,69.17,79.27,55.02,0.43
4,1,2025-01-04,Wasabi,151,4.44372905,671.00308600,55.00,64.01,42.75,0.84
5,1,2025-01-05,Wasabi,162,7.07824173,1146.67516075,57.22,64.54,46.31,0.64
6,1,2025-01-06,Wasabi,142,7.44097445,1056.61837260,59.29,67.23,50.42,0.08
7,1,2025-01-07,Wasabi,149,11.40756173,1699.72669754,61.87,66.36,49.46,0.82
8,1,2025-01-08,Wasabi,110,15.31392379,1684.53161662,74.99,84.84,60.55,0.41
9,1,2025-01-09,Wasabi,87,20.64874233,1796.44058263,102.08,112.57,94.15,0.14
10,1,2025-01-10,Wasabi,126,20.84985987,2627.08234367,74.25,78.91,65.02,0.79
11,1,2025-01-11,Wasabi,112,30.97122440,3468.77713239,68.19,73.57,58.56,0.33
12,1,2025-01-12,Wasabi,159,18.23317308,2899.07451939,66.17,71.34,56.97,0.43
13,1,2025-01-13,Wasabi,159,10.51611373,1672.06208242,58.86,62.24,52.29,0.48
14,1,2025-01-14,Wasabi,160,11.03527913,1765.64466135,72.21,75.79,62.98,0.11
15,1,2025-01-15,Wasabi,147,12.45380450,1830.70926156,82.67,90.10,57.83,14.55
16,1,2025-01-16,Wasabi,82,15.57449996,1277.10899679,84.77,94.94,73.70,1.26
17,1,2025-01-17,Wasabi,103,18.94120275,1950.94388295,75.75,84.66,67.62,0.17
18,1,2025-01-18,Wasabi,118,19.23543193,2269.78096762,68.12,75.34,62.03,0.19
19,1,2025-01-19,Wasabi,131,15.99632170,2095.51814208,61.55,67.41,51.79,0.44
20,1,2025-01-20,Wasabi,93,17.71084734,1647.10880245,67.58,72.67,56.51,0.14
21,1,2025-01-21,Wasabi,81,18.50861227,1499.19759354,89.07,97.09,81.17,0.31
22,1,2025-01-22,Wasabi,110,11.84321269,1302.75339594,83.66,93.19,74.83,0.49
23,1,2025-01-23,Wasabi,93,15.20300820,1413.87976245,77.85,84.25,67.34,0.25
24,1,2025-01-24,Wasabi,90,16.04048596,1443.64373684,92.51,105.53,81.69,0.33
25,1,2025-01-25,Wasabi,91,11.56110367,1052.06043372,86.22,96.02,76.58,0.51
26,1,2025-01-26,Wasabi,86,11.28279548,970.32041131,89.43,106.17,80.09,0.45
27,1,2025-01-27,Wasabi,104,6.54588156,680.77168243,73.30,84.21,55.33,10.38
28,1,2025-01-28,Wasabi,123,7.85080313,965.64878438,64.14,74.34,58.30,0.13
29,1,2025-01-29,Wasabi,121,7.59920197,919.50343786,69.66,76.94,62.49,0.48
30,1,2025-01-30,Wasabi,130,6.99873264,909.83524290,68.57,77.99,62.65,0.65
31,1,2025-01-31,Wasabi,137,6.60604091,905.02760482,60.25,67.61,46.48,7.18
1,2,2025-02-01,Wasabi,141,7.78256362,1097.34147022,59.12,67.68,53.14,0.43
2,2,2025-02-02,Wasabi,129,7.92144394,1021.86626811,60.05,70.80,52.24,0.16
3,2,2025-02-03,Wasabi,101,8.79426311,888.22057408,64.20,73.81,54.16,0.24
4,2,2025-02-04,Wasabi,93,12.38017352,1151.35613781,77.38,89.33,65.54,0.33
5,2,2025-02-05,Wasabi,60,10.73204007,643.92240410,106.27,122.90,100.53,0.53
6,2,2025-02-06,Wasabi,119,9.35509036,1113.25575308,70.61,78.03,58.86,1.82
7,2,2025-02-07,Wasabi,101,7.86417721,794.28189776,66.90,75.55,57.81,1.56
8,2,2025-02-08,Wasabi,105,7.93246389,832.90870822,72.48,85.33,64.57,0.37
9,2,2025-02-09,Wasabi,83,18.20801087,1511.26490196,91.65,109.42,84.27,0.53
10,2,2025-02-10,Wasabi,109,10.17226994,1108.77742374,77.18,87.90,67.56,0.44
11,2,2025-02-11,Wasabi,102,9.21296863,939.72280043,76.51,87.53,72.76,1.17
12,2,2025-02-12,Wasabi,132,9.94304968,1312.48255831,72.19,81.02,66.39,1.39
13,2,2025-02-13,Wasabi,98,13.98845944,1370.86902465,87.61,95.23,77.88,1.19
14,2,2025-02-14,Wasabi,109,9.99542466,1089.50128826,79.05,89.57,70.79,0.72
15,2,2025-02-15,Wasabi,91,9.21377814,838.45381111,77.20,91.93,67.73,0.08
16,2,2025-02-16,Wasabi,86,9.93125427,854.08786738,72.78,84.31,63.55,0.47
17,2,2025-02-17,Wasabi,94,7.31580016,687.68521495,73.37,83.48,66.02,0.35
18,2,2025-02-18,Wasabi,84,9.36783455,786.89810221,89.90,103.57,80.90,0.29
19,2,2025-02-19,Wasabi,83,8.75539103,726.69745527,80.98,93.71,71.24,0.72
20,2,2025-02-20,Wasabi,95,8.22773959,781.63526084,81.44,90.05,70.71,0.28
21,2,2025-02-21,Wasabi,88,9.98318121,878.51994612,79.60,85.99,71.44,2.43
22,2,2025-02-22,Wasabi,84,7.68411710,645.46583672,71.85,82.68,64.61,0.13
23,2,2025-02-23,Wasabi,79,4.26538534,336.96544181,49.25,55.42,40.35,4.20
24,2,2025-02-24,Wasabi,55,5.76221758,316.92196714,80.60,89.44,74.89,0.56
25,2,2025-02-25,Wasabi,66,8.11484720,535.57991492,81.88,88.64,73.33,1.00
26,2,2025-02-26,Wasabi,96,5.27567626,506.46492105,66.68,74.95,58.99,0.40
27,2,2025-02-27,Wasabi,93,5.19515325,483.14925254,73.53,84.04,67.55,0.27
28,2,2025-02-28,Wasabi,140,5.86673169,821.34243651,56.92,64.69,52.17,0.29
1,3,2025-03-01,Wasabi,138,6.03212609,832.43340064,57.59,64.35,54.30,0.28
2,3,2025-03-02,Wasabi,121,6.47114279,783.00827796,62.41,71.90,53.98,0.54
3,3,2025-03-03,Wasabi,128,7.82719517,1001.88098126,66.90,77.84,60.41,0.74
4,3,2025-03-04,Wasabi,102,10.54570958,1075.66237674,75.25,90.32,68.74,1.72
5,3,2025-03-05,Wasabi,127,7.36245761,935.03211618,59.20,70.86,53.54,0.86
6,3,2025-03-06,Wasabi,111,11.46265665,1272.35488844,75.79,90.87,68.65,1.08
7,3,2025-03-07,Wasabi,106,10.51233076,1114.30706035,75.49,90.65,68.89,2.16
8,3,2025-03-08,Wasabi,118,5.17950370,611.18143613,61.11,76.48,55.17,0.69
9,3,2025-03-09,Wasabi,90,12.06562485,1085.90623605,77.16,90.20,72.12,1.40
10,3,2025-03-10,Wasabi,129,8.59935240,1109.31645931,71.40,81.56,64.84,1.16
11,3,2025-03-11,Wasabi,134,7.83840327,1050.34603819,67.92,77.24,61.17,0.48
12,3,2025-03-12,Wasabi,166,4.82356014,800.71098319,62.34,73.05,49.11,8.90
13,3,2025-03-13,Wasabi,164,5.86023833,961.07908629,60.68,71.65,55.05,0.84
14,3,2025-03-14,Wasabi,128,7.13301323,913.02569402,79.51,92.27,66.48,5.83
15,3,2025-03-15,Wasabi,124,7.50698083,930.86562252,65.31,76.58,59.98,0.98
16,3,2025-03-16,Wasabi,167,5.74789461,959.89839929,62.22,71.58,62.60,0.19
17,3,2025-03-17,Wasabi,167,8.49845028,1419.24119704,67.44,75.21,57.98,1.12
18,3,2025-03-18,Wasabi,153,7.66798843,1173.20223039,85.75,93.12,78.38,1.32
19,3,2025-03-19,Wasabi,132,10.76161175,1420.53275086,73.59,83.64,66.69,0.37
20,3,2025-03-20,Wasabi,155,7.74374884,1200.28107091,72.05,77.26,64.86,0.28
21,3,2025-03-21,Wasabi,198,6.73012323,1332.56440039,57.42,62.24,51.57,0.29
22,3,2025-03-22,Wasabi,122,6.96027805,849.15392200,62.43,70.38,56.14,0.39
23,3,2025-03-23,Wasabi,128,6.03394842,772.34539744,58.42,65.61,52.37,1.16
24,3,2025-03-24,Wasabi,159,5.27548886,838.80272821,66.57,70.16,56.70,0.60
25,3,2025-03-25,Wasabi,105,7.13237140,748.89899654,78.19,80.19,66.33,2.47
26,3,2025-03-26,Wasabi,137,5.91867261,810.85814747,73.15,81.36,62.85,2.55
27,3,2025-03-27,Wasabi,115,8.16593353,939.08235602,80.33,86.41,70.93,0.32
28,3,2025-03-28,Wasabi,122,10.88844520,1328.39031435,80.91,89.54,71.49,0.36
29,3,2025-03-29,Wasabi,145,11.39797064,1652.70574254,63.72,70.45,58.02,1.26
30,3,2025-03-30,Wasabi,110,10.43595346,1147.95488014,69.87,78.85,63.96,0.25
31,3,2025-03-31,Wasabi,164,8.82917447,1447.98461349,62.85,72.10,56.07,1.15
1,4,2025-04-01,Wasabi,136,10.60518151,1442.30468587,74.41,87.88,64.19,0.51
2,4,2025-04-02,Wasabi,138,10.79029091,1489.06014619,71.46,86.37,62.71,0.84
3,4,2025-04-03,Wasabi,112,14.37108058,1609.56102473,85.71,104.19,80.26,0.91
4,4,2025-04-04,Wasabi,113,9.00921684,1018.04150341,70.92,83.82,62.54,1.13
5,4,2025-04-05,Wasabi,117,12.96709111,1517.14966039,99.67,108.83,85.04,9.32
6,4,2025-04-06,Wasabi,124,10.00911828,1241.13066702,71.26,83.06,65.81,1.16
7,4,2025-04-07,Wasabi,135,11.58175149,1563.53645070,81.58,87.66,70.73,7.17
8,4,2025-04-08,Wasabi,197,11.11509414,2189.67354506,66.86,77.43,60.55,1.30
9,4,2025-04-09,Wasabi,130,15.92453879,2070.19004262,86.18,105.75,78.30,0.32
10,4,2025-04-10,Wasabi,103,20.73952203,2136.17076905,118.27,145.83,108.62,1.92
11,4,2025-04-11,Wasabi,93,21.17838766,1969.59005263,122.53,155.66,109.72,0.86
12,4,2025-04-12,Wasabi,101,20.95170941,2116.12265052,114.40,146.24,104.69,0.51
13,4,2025-04-13,Wasabi,113,13.65388839,1542.88938754,78.48,101.73,67.26,0.35
14,4,2025-04-14,Wasabi,130,12.37943564,1609.32663305,82.94,102.25,67.10,2.09
15,4,2025-04-15,Wasabi,122,10.94837979,1335.70233413,77.07,91.01,63.48,0.20
16,4,2025-04-16,Wasabi,110,7.29667953,802.63474812,67.44,77.45,54.42,0.25
17,4,2025-04-17,Wasabi,149,7.37213669,1098.44836636,59.77,72.46,50.66,2.27
18,4,2025-04-18,Wasabi,160,9.88811696,1582.09871385,56.03,67.20,45.98,0.25
19,4,2025-04-19,Wasabi,158,6.55690265,1035.99061889,48.27,57.29,41.18,0.30
20,4,2025-04-20,Wasabi,154,4.50820860,694.26412463,56.23,65.33,52.31,1.38
21,4,2025-04-21,Wasabi,149,5.15220110,767.67796353,60.59,68.25,57.54,0.92
22,4,2025-04-22,Wasabi,163,4.34538956,708.29849764,63.15,69.09,54.53,3.77
23,4,2025-04-23,Wasabi,160,6.11977674,979.16427873,69.05,76.92,61.68,1.77
24,4,2025-04-24,Wasabi,145,5.07696740,736.16027315,83.59,93.05,59.06,19.59
25,4,2025-04-25,Wasabi,154,5.13145739,790.24443776,71.10,82.78,62.22,0.92
