Dia,Mês,Data,Mixer,Quantidade
1,Janeiro,2025-01-01,JoinMarket,58
1,Janeiro,2025-01-01,Wasabi,113
2,Janeiro,2025-01-02,JoinMarket,55
2,Janeiro,2025-01-02,Wasabi,156
3,Janeiro,2025-01-03,JoinMarket,72
3,Janeiro,2025-01-03,Wasabi,127
4,Janeiro,2025-01-04,JoinMarket,50
4,Janeiro,2025-01-04,Wasabi,151
5,Janeiro,2025-01-05,JoinMarket,80
5,Janeiro,2025-01-05,Wasabi,162
6,Janeiro,2025-01-06,JoinMarket,189
6,Janeiro,2025-01-06,Wasabi,142
7,Janeiro,2025-01-07,JoinMarket,266
7,Janeiro,2025-01-07,Wasabi,149
8,Janeiro,2025-01-08,JoinMarket,51
8,Janeiro,2025-01-08,Wasabi,110
9,Janeiro,2025-01-09,JoinMarket,61
9,Janeiro,2025-01-09,Wasabi,87
10,Janeiro,2025-01-10,JoinMarket,75
10,Janeiro,2025-01-10,Wasabi,126
11,Janeiro,2025-01-11,JoinMarket,42
11,Janeiro,2025-01-11,Wasabi,112
12,Janeiro,2025-01-12,JoinMarket,51
12,Janeiro,2025-01-12,Wasabi,159
13,Janeiro,2025-01-13,JoinMarket,60
13,Janeiro,2025-01-13,Wasabi,159
14,Janeiro,2025-01-14,JoinMarket,92
14,Janeiro,2025-01-14,Wasabi,160
15,Janeiro,2025-01-15,JoinMarket,49
15,Janeiro,2025-01-15,Wasabi,147
16,Janeiro,2025-01-16,JoinMarket,42
16,Janeiro,2025-01-16,Wasabi,82
17,Janeiro,2025-01-17,JoinMarket,39
17,Janeiro,2025-01-17,Wasabi,103
18,Janeiro,2025-01-18,JoinMarket,73
18,Janeiro,2025-01-18,Wasabi,118
19,Janeiro,2025-01-19,JoinMarket,66
19,Janeiro,2025-01-19,Wasabi,131
20,Janeiro,2025-01-20,JoinMarket,28
20,Janeiro,2025-01-20,Wasabi,93
21,Janeiro,2025-01-21,JoinMarket,35
21,Janeiro,2025-01-21,Wasabi,81
22,Janeiro,2025-01-22,JoinMarket,48
22,Janeiro,2025-01-22,Wasabi,110
23,Janeiro,2025-01-23,JoinMarket,66
23,Janeiro,2025-01-23,Wasabi,93
24,Janeiro,2025-01-24,JoinMarket,57
24,Janeiro,2025-01-24,Wasabi,90
25,Janeiro,2025-01-25,JoinMarket,36
25,Janeiro,2025-01-25,Wasabi,91
26,Janeiro,2025-01-26,JoinMarket,52
26,Janeiro,2025-01-26,Wasabi,86
27,Janeiro,2025-01-27,JoinMarket,31
27,Janeiro,2025-01-27,Wasabi,104
28,Janeiro,2025-01-28,JoinMarket,43
28,Janeiro,2025-01-28,Wasabi,123
29,Janeiro,2025-01-29,JoinMarket,36
29,Janeiro,2025-01-29,Wasabi,121
30,Janeiro,2025-01-30,JoinMarket,57
30,Janeiro,2025-01-30,Wasabi,130
31,Janeiro,2025-01-31,JoinMarket,47
31,Janeiro,2025-01-31,Wasabi,137
1,Fevereiro,2025-02-01,JoinMarket,61
1,Fevereiro,2025-02-01,Wasabi,141
2,Fevereiro,2025-02-02,JoinMarket,61
2,Fevereiro,2025-02-02,Wasabi,129
3,Fevereiro,2025-02-03,JoinMarket,58
3,Fevereiro,2025-02-03,Wasabi,101
4,Fevereiro,2025-02-04,JoinMarket,61
4,Fevereiro,2025-02-04,Wasabi,93
5,Fevereiro,2025-02-05,JoinMarket,43
5,Fevereiro,2025-02-05,Wasabi,60
6,Fevereiro,2025-02-06,JoinMarket,44
6,Fevereiro,2025-02-06,Wasabi,119
7,Fevereiro,2025-02-07,JoinMarket,38
7,Fevereiro,2025-02-07,Wasabi,101
8,Fevereiro,2025-02-08,JoinMarket,24
8,Fevereiro,2025-02-08,Wasabi,105
9,Fevereiro,2025-02-09,JoinMarket,33
